"","convergence","mu","time","density","x_C","x_PSU","CO2","H+","PC","PC-","PQ","PQH2","ATP","NADPH","C3","A","Protein","tau Carbon_T","tau PSII","tau PSI","tau Cyt6bf","tau ATPsyn","tau C_fix","tau Met","tau Ribosome","v Carbon_T","v PSII","v PSI","v Cyt6bf","v ATPsyn","v C_fix","v Met","v Ribosome","p Carbon_T","p PSII","p PSI","p Cyt6bf","p ATPsyn","p C_fix","p Met","p Ribosome","f Carbon_T","f PSII","f PSI","f Cyt6bf","f ATPsyn","f C_fix","f Met","f Ribosome"
"102",4,0.016925044623645,0.348,385.67,0.000525,20.9423501204926,12.943914960451,0.254047581970942,9.3357559820455,147.236190876374,68.3051220624089,3.04503625342535,1.05243727294191,11.8284789516713,6.83811795937331,5.30345991942033,119.527438180574,0.135843766265404,6.07131263843826,0.586097775590914,0.0046354643929293,1.00740214084197,0.944189512147577,1.34819000837982,1.37026019824803,1.54298999089886,15.0950576674953,34.9041610227286,49.1387304655853,0.788988691344373,1.47101516954284,1.50586635326522,2.02300722495617,0.209605571673522,91.6468143946189,20.4572511342883,0.227780835386971,0.794828896760427,1.38891709529234,2.03019397142753,2.77204628112564,0.236383646918357,2.31253916288,5.34726273264529,7.5279764489118,0.120871830237005,0.225357217156152,0.230696363849462,0.309921534422106
"103",4,0.0163429490680829,0.376,385.67,0.000525,20.1368751158582,12.7942275633925,0.249533879397263,9.27437391604946,147.3977567469,68.3763620390808,3.02004706221693,1.0361397237842,11.8419767323192,6.74990243787717,5.2215829875546,119.708096911662,0.13584437516396,6.30301261603576,0.608469296013788,0.00469362276834336,1.02193303281568,0.955073886956137,1.36738759583598,1.38337316952273,1.4867689511197,14.5853484698315,33.7254905849973,47.4809500837129,0.762438350752008,1.41963726853968,1.45480439642548,1.95638333086443,0.201969199178033,91.9316354146258,20.5209255139729,0.222857668375489,0.779160936118983,1.35585848413199,1.98928148603984,2.70640820921937,0.235883301595441,2.31403820303944,5.35071711117179,7.53308929420385,0.120964643028711,0.225232525685233,0.230811965736817,0.310389962692619
"104",4,0.0157788928015089,0.271,385.67,0.000525,19.3623799190944,12.6452821038584,0.245089458275022,9.21380537088838,147.557792994485,68.4468697295167,2.99546245188471,1.02013771405733,11.8553428297008,6.66239634316645,5.14121077631662,119.886610229296,0.13584499195008,6.54397777681073,0.631735500266735,0.0047529819871404,1.03676384627996,0.966193491151215,1.38702784605079,1.39703989164995,1.43243199143512,14.0910112622515,32.5823678903483,45.8730865202909,0.736683850159038,1.36989271185944,1.4052971935105,1.89167797114434,0.194588712345541,92.2112645529637,20.583438479084,0.218033953925476,0.763767181983211,1.32358142177408,1.94918633937609,2.64274958784409,0.235386541710622,2.3155266218983,5.35414661520404,7.53816394646791,0.121056681824923,0.225109680520414,0.230927575224477,0.310852828141406
"105",4,0.015232453000935,0.193,385.67,0.000525,18.6176729991293,12.4971172356891,0.24071376851842,9.15405241095421,147.716282323941,68.516641898508,2.97127827953336,1.00442483634319,11.8685770424943,6.57561381326198,5.06230803883919,120.062990632115,0.135845616715054,6.79457865713416,0.655932171468742,0.00481356386531922,1.05190032582202,0.977553299392325,1.40712078885315,1.41126560097977,1.37992855531012,13.6117048030826,31.4740040307342,44.3140361675841,0.711707796571858,1.32174089374479,1.35730907264664,1.82885386195538,0.187457245618817,92.4857989422353,20.6448118086954,0.213308443222732,0.748645663104008,1.29207217162198,1.90989781302009,2.58099854459663,0.234893444829761,2.3170041803239,5.35755072312671,7.54319966034411,0.1211479358157,0.224988656484688,0.231043123606502,0.31131016317607
"106",4,0.0147032068404165,0.17,385.67,0.000525,17.9016086530089,12.3497698435855,0.236406291064763,9.09511232638417,147.873212347223,68.5856762742401,2.94748963509133,0.988994910648192,11.8816791331907,6.48956870375078,4.98484069318646,120.237250109724,0.135846249548646,7.05520061250423,0.681096523812332,0.00487539316303334,1.06734813767662,0.98915837979144,1.42767656454867,1.42605581598904,1.32920847151128,13.1470866789341,30.3996073139562,42.8026913186358,0.68749271616914,1.27514139007722,1.31080435457876,1.76787315828616,0.180567985723096,92.7553339898624,20.7050668667955,0.208679948614304,0.733794070269375,1.26131679141379,1.87140465774044,2.5210857993049,0.234404084970715,2.31847064554319,5.36092892019799,7.54819571787815,0.121238394511911,0.224869429555694,0.231158544273584,0.311761998884341
"107",4,0.0141907323934929,0.175,385.67,0.000525,17.2130852432778,12.2032752917159,0.232166372473027,9.03698367976187,148.028570672575,68.6539706097378,2.92409215471247,0.973841896655341,11.894648975365,6.40427337775878,4.90877527078274,120.409401706268,0.135846890542259,7.32624441192839,0.707267260032201,0.00493849355416912,1.0831134686558,1.00101391620059,1.44870563604076,1.44141648453956,1.2802220325145,12.6968141741869,29.3583853270113,41.3379429381391,0.664021102002596,1.23005402058404,1.26574743433944,1.70869759727423,0.173914182320786,93.01996389293,20.7642247492049,0.204147164742611,0.71921019905068,1.23130119228311,1.83369544193167,2.46294488380422,0.233918531564516,2.31992580329201,5.3642807344217,7.55315145685693,0.121328048700443,0.224751974995234,0.231273774120803,0.312208369088257
"108",4,0.013694609455065,0.172,385.67,0.000525,16.5510435031517,12.0576681413749,0.227993545264119,8.97966463179172,148.18234608056,68.7215226009896,2.90108193786366,0.958959644413927,11.907486507902,6.31973892903808,4.83407901174917,120.579458964452,0.135847539799893,7.60812685467936,0.734484630889331,0.00500288809433702,1.09920185378319,1.01312528566427,1.47021892899153,1.45735416400831,1.23292008006264,12.2605449664271,28.349546525672,39.9186829432078,0.641275446199952,1.18643891547526,1.22210284331568,1.65128859882121,0.167489159646397,93.2797814120776,20.8223062157881,0.199708703638189,0.704891159248632,1.20201126516408,1.79675873341708,2.40651231547153,0.233436851219618,2.32136945247405,5.36760572033243,7.5580662540781,0.121416889339467,0.224636267241986,0.231388752785711,0.312649308902563
"109",4,0.0132144202895114,0.264,385.67,0.000525,15.9144649068767,11.9129799142677,0.22388704888295,8.92315140855172,148.334530101711,68.7883310800657,2.8784543397556,0.944342508360169,11.9201916811601,6.23597616031933,4.76072036985869,120.747435410556,0.135848197411709,7.90128140912392,0.762790497001422,0.0050686020950741,1.11561998947761,1.02549790242099,1.49222733448323,1.47387546472729,1.18725405521707,11.8379377916968,27.3723017953168,38.5438064347773,0.619238282620391,1.14425659081047,1.17983531212516,1.59560736039572,0.16128632327098,93.5348777958995,20.8793316905226,0.195363218047443,0.690834606341092,1.17343273370753,1.76058250294171,2.35172653982553,0.232959104508845,2.32280140469252,5.37090346127897,7.56293953425688,0.121504908880237,0.224522282785393,0.231503423022916,0.313084853399425
"110",4,0.0127497503164617,0.175,385.67,0.000525,15.302370102766,11.7692405957799,0.219846370896135,8.86744489352178,148.485110973056,68.8543957357276,2.8562042503473,0.929984706804678,11.932764604742,6.15299447670103,4.68866826089359,120.913345138885,0.135848863481581,8.20615887982139,0.792228393568616,0.00513566047777438,1.13237365685699,1.03813742509243,1.51474226165454,1.49098767196633,1.14317606374488,11.4286530608264,26.4258659545348,37.2122136952172,0.597892211831795,1.10346798303814,1.13890982195737,1.54161496044894,0.15529916901909,93.7853427994987,20.9353213338207,0.191109295165021,0.677037390318284,1.14555141058316,1.72515483953228,2.29852890094823,0.232485346565413,2.32422148423766,5.37417358495549,7.56777076757392,0.121592099839046,0.224409996497013,0.231617729815939,0.313515039123825
"111",4,0.0123001887300162,0.239,385.67,0.000525,14.7138174065058,11.6264788520097,0.215870774323345,8.81253760174424,148.634085287573,68.9197156685262,2.83432757212056,0.915880762499831,11.9452052900443,6.07080290877691,4.61789284294359,121.077202439619,0.135849538107511,8.52322810397216,0.822843596694818,0.00520408931767649,1.14946960049059,1.05104956488412,1.53777522110281,1.50869825089811,1.10063894984726,11.0323534250212,25.5094588465665,35.92281197487,0.577219936983652,1.06403451744667,1.09929166213998,1.48927244090969,0.149521292959887,94.0312647650941,20.9902948670472,0.186945522059322,0.663496770359801,1.11835301658401,1.69046347880379,2.2468627267112,0.232015631124945,2.32562952915208,5.37741572271565,7.57255946038324,0.121678455951198,0.224299385496373,0.23173162172499,0.313939903128631
